symbol,target_weight,abs_weight
A005930,0.33333333333333326,0.33333333333333326
A001430,0.28571428571428575,0.28571428571428575
A042700,0.23809523809523805,0.23809523809523805
A009420,-0.20238095238095238,0.20238095238095238
A005490,0.14285714285714288,0.14285714285714288
A073240,-0.07142857142857142,0.07142857142857142
A035250,-0.06666666666666667,0.06666666666666667
A361610,-0.047619047619047616,0.047619047619047616
A015760,-0.04047619047619048,0.04047619047619048
A024110,-0.02619047619047619,0.02619047619047619
A000080,-0.023809523809523808,0.023809523809523808
A030200,-0.02142857142857143,0.02142857142857143
