symbol,target_weight,abs_weight
A009420,-0.2523809523809524,0.2523809523809524
A454910,0.14605067064083457,0.14605067064083457
A006260,0.1323584202682563,0.1323584202682563
A402340,0.12916666666666665,0.12916666666666665
A375500,0.10409652076318744,0.10409652076318744
A000150,0.09999999999999999,0.09999999999999999
A047040,0.09666105499438833,0.09666105499438833
A001430,0.0826048951048951,0.0826048951048951
A005490,0.07648601398601398,0.07648601398601398
A035250,-0.07619047619047618,0.07619047619047618
A009150,0.07504288164665522,0.07504288164665522
A361610,-0.06666666666666667,0.06666666666666667
A011070,0.05753287592910235,0.05753287592910235
A015760,-0.05238095238095238,0.05238095238095238
A024110,-0.02857142857142857,0.02857142857142857
A030200,-0.023809523809523808,0.023809523809523808
